1,Adrian Jesus,Aceves Pastor,1998-12-02,5,M,1,2,3
2,Adriana,Acevedo Hernandez,1996-10-04,7,F,2,1,2
3,Alejandro,Aceves Lopez de Nava,1999-09-06,9,M,3,2,1
4,Alejandro,Acosta Garcia,1995-08-08,4,M,1,3,2
5,Alicia,Acosta Baeza,1991-07-10,6,F,2,1,3
6,Alicia Maria,Acosta Garcia,1980-06-12,8,F,3,2,1
7,Ana Lilia,Acuna Gallareta,1978-05-11,10,F,1,3,2
8,Arturo,Adame Gomez,1984-04-09,5,M,2,1,3
9,Benjamin,Aguado Medina,1998-04-07,7,M,3,2,1
10,Blanca Araceli,Aguario Albarran,1995-03-06,9,M,1,3,2
11,Carmen Julieta,Aguilar Tellez,1993-02-06,4,F,2,1,3
12,Diana,Aguilar Casillas,1991-03-05,6,F,3,2,1
13,Edgar,Aguilar Flores,1989-04-03,8,M,1,3,2
14,Edmundo Rafael,Aguilar Galvan,1970-06-02,10,M,2,1,3
15,Elvira,Aguilar De Llano,1989-07-04,5,F,3,2,1
16,Erika,Aguilar Castro,1988-09-07,7,F,1,3,2
17,Fernanda,Aguilar Ramirez,1978-07-09,9,F,2,1,3
18,Francisco Alejandro,Escobar Diaz,1999-11-01,4,M,3,2,1
19,Gabriel,Acevedo Hernandez,1997-12-03,6,M,1,3,2
20,Hector,Aceves Pulido,1993-11-05,8,M,2,1,3
21,Irais,Aceves Alvarado,1994-09-07,10,F,3,2,1
22,Jose Luis,Acosta Gonzalez,1992-08-09,5,M,1,3,2
23,Jose Maria,Acosta Moctezuma,1990-07-11,7,M,2,1,3
24,Josefina,Acosta Aguirre,1981-06-12,9,F,3,2,1
25,Juan Jesus,Adame Garcia,1979-05-10,4,M,1,3,2
26,Julio Cesar,Adams Huitron,1978-04-08,6,M,2,1,3
27,Laura Patricia,Aguado ,1996-05-05,8,F,3,2,1
28,Monica,Aguayo Labastida,1994-03-07,10,F,1,3,2
29,Monica,Aguilar Ochoa,1992-02-07,5,F,2,1,3
30,Nora Karina,Aguilar Ramirez,1989-03-04,7,F,3,2,1
31,Pavel Alfonso,Aguilar Rendon,1979-05-02,9,M,1,3,2
32,Roberto Carlos,Aguilar Gomez Tagle,1988-05-03,4,M,2,1,3
33,Tania Gabriela,Aguilar Pedrero,1977-08-06,6,F,3,2,1
34,Victoria Eugenia,Aguilar Sanchez,1989-07-08,8,F,1,3,2
35,Virginia,Aguilar Flores,1998-11-10,10,F,2,1,3
